1.127 0.889
1.138 0.862
1.135 0.503
1.057 0.866
0.922 0.705
0.708 0.411
0.413 0.131
0.161 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.035 0
0.229 0.03
0.609 0.174
0.903 0.436
1.06 0.362
1.241 0.323
1.489 0.487
1.262 0.513
0.877 0.008
0.694 0.374
0.596 0.222
0.287 0.119
0.141 0.003
0.003 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.025 0
0.236 0.025
0.461 0.206
0.776 0.422
1.011 0.36
1.291 0.383
1.596 0.418
1.57 0.414
1.295 0.379
1.261 0.273
1.026 0.086
0.437 0.086
0.159 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.051 0
0.306 0.052
0.584 0.306
0.819 0.585
1.003 0.818
1.103 1.001
1.13 0.874
1.125 0.509
1.055 0.886
1.083 0.229
0.938 0.439
0.438 0.104
0.161 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.043 0
0.294 0.045
0.575 0.294
0.804 0.576
1.073 0.804
1.23 0.2
1.284 0.323
1.34 0.248
1.186 0.162
0.975 0.178
0.686 0.169
0.417 0.049
0.052 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.016 0
0.108 0.016
0.689 0.108
1.166 0.336
1.232 0.496
1.525 0.649
1.47 0.31
0.799 0.124
0.752 0.086
0.132 0.013
0.207 0.04
0.133 0.04
0.143 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.053 0
0.297 0.054
0.573 0.297
0.808 0.574
0.988 0.807
1.425 0.377
1.586 0.358
1.511 0.345
1.393 0.353
0.945 0.218
0.716 0.154
0.54 0.046
0.109 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.059 0
0.311 0.06
0.589 0.311
0.815 0.585
1.012 0.817
1.142 0.162
1.37 0.257
1.344 0.282
1.216 0.251
1.106 0.261
0.838 0.103
0.128 0.053
0.133 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.044 0
0.301 0.034
0.582 0.301
0.816 0.583
0.991 0.817
1.096 0.988
1.253 0.171
1.248 0.247
1.219 0.32
0.941 0.288
0.779 0.118
0.379 0.05
0.062 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.012 0
0.308 0.012
0.587 0.308
0.92 0.344
1.063 0.459
1.118 0.958
1.145 0.898
1.248 0.336
1.18 0.529
0.98 0.513
0.956 0.069
0.152 0.047
0.088 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.062 0
0.297 0.055
0.597 0.158
0.953 0.254
1.111 0.247
1.131 0.693
1.206 0.186
1.235 0.246
1.123 0.909
0.959 0.231
0.839 0.085
0.46 0.082
0.146 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.067 0
0.321 0.068
0.596 0.321
0.839 0.594
1 0.835
1.096 0.98
1.119 0.882
1.234 0.299
1.135 0.601
1.057 0.151
0.726 0.084
0.311 0.069
0.144 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.015 0
0.358 0.015
0.578 0.057
0.886 0.337
1.347 0.231
1.461 0.192
1.644 0.308
1.429 0.185
1.27 0.279
1.16 0.092
0.744 0.109
0.592 0.07
0.147 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.035 0
0.324 0.037
0.604 0.322
0.827 0.602
1.006 0.812
1.102 1.004
1.124 0.898
1.125 0.564
1.331 0.371
1.229 0.276
0.67 0.215
0.466 0.186
0.184 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.07 0
0.329 0.07
0.601 0.329
0.843 0.6
1.027 0.726
1.13 0.886
1.189 0.648
1.34 0.309
1.127 0.201
0.932 0.148
0.588 0.148
0.474 0.11
0.119 0.002
0.002 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.07 0
0.358 0.064
0.642 0.198
0.878 0.488
1.014 0.785
1.118 1.005
1.242 0.208
1.38 0.239
1.245 0.278
0.954 0.455
0.751 0.264
0.495 0.098
0.098 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.055 0
0.105 0.055
0.542 0.08
0.788 0.258
1.032 0.66
1.145 0.48
1.182 0.368
1.051 0.308
1.231 0.28
0.332 0.122
0.527 0.126
0.383 0.115
0.115 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.045 0
0.299 0.045
0.616 0.201
0.832 0.255
0.96 0.491
1.181 0.684
1.393 0.359
1.397 0.472
1.088 0.4
0.787 0.182
0.19 0.003
0.035 0.003
0.037 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.026 0
0.211 0.025
0.718 0.168
0.722 0.41
1.108 0.252
1.342 0.451
1.323 0.41
1.3 0.248
0.238 0.004
0.055 0.017
0.13 0.033
0.133 0.014
0.014 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.066 0
0.376 0.054
0.652 0.144
0.912 0.581
1.288 0.294
1.368 0.213
1.362 0.182
1.52 0.27
1.268 0.333
1.281 0.076
0.102 0.018
0.033 0.01
0.021 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.008 0
0.099 0.008
0.208 0.099
0.504 0.17
1.046 0.478
1.267 0.568
0.664 0.391
0.632 0.311
1.037 0.41
0.981 0.336
0.392 0.165
0.228 0.092
0.149 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.069 0
0.409 0.067
0.609 0.357
0.855 0.613
1.029 0.852
1.228 0.29
1.304 0.283
1.245 0.294
1.128 0.325
0.995 0.187
0.21 0.052
0.097 0.048
0.076 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.071 0
0.414 0.065
0.62 0.313
0.775 0.379
1.153 0.374
1.179 0.553
1.237 0.474
1.044 0.388
1.162 0.374
0.944 0.321
0.597 0.119
0.119 0.036
0.048 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.045 0
0.2 0.045
0.839 0.113
0.882 0.31
1.306 0.352
1.131 0.349
1.444 0.359
1.395 0.36
1.278 0.34
0.409 0.193
0.645 0.124
0.175 0.098
0.132 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.029 0
0.355 0.026
0.62 0.355
0.851 0.62
1.025 0.851
1.125 1.025
1.14 0.939
1.129 0.617
1.083 0.8
0.929 0.311
0.647 0.166
0.412 0.07
0.112 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.055 0
0.292 0.051
0.625 0.211
0.859 0.495
1.027 0.861
1.116 1.023
1.135 0.928
1.157 0.68
1.074 0.288
0.947 0.198
0.665 0.167
0.324 0.038
0.038 0.001
0.001 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.038 0
0.362 0.029
0.641 0.181
0.882 0.417
1.206 0.581
1.132 1.034
1.282 0.435
1.326 0.435
0.724 0.387
0.73 0.328
0.656 0.236
0.357 0.056
